id,name,ORCID,org,IDAF,Publisher,IDPS
AUTH_DABROW,Davis Brown,http://orcid.org/0000-0002-6391-4833,Hungarian Indochina Company,ORG_00046,Waseda University Repository,PBSH_00046
AUTH_DACHAN,David Chandler,,Independent Researcher,ORG_00047,National Authority for Preah Vihear,PBSH_00047
AUTH_DAEA,Darith Ea,,Indian Space Research Organisation (ISRO),ORG_00048,,
AUTH_DAEVAN,Damian Evans,http://orcid.org/0000-0003-0320-4319,Institut National de Recherches Archeologiques Preventives,ORG_00049,,
AUTH_DAFINK,David Fink,http://orcid.org/0000-0001-7156-4602,Institute of Environmental Science & Research,ORG_00050,,
AUTH_DAKRAU,Dana Krause,,Jagiellonian University,ORG_00051,,
AUTH_DAPENN,Dan Penny,http://orcid.org/0000-0002-7905-0339,James Cook University,ORG_00052,,
AUTH_DASAND,David Sanderson,http://orcid.org/0000-0002-9615-4412,Japan-APSARA Safeguarding Angkor,ORG_00053,,
AUTH_DATANG,David Tang,,Karlstad University,ORG_00054,,
AUTH_DAWYAT,David K. Wyatt,,King Saud University,ORG_00055,,
AUTH_DEMERC,Denis Mercier,http://orcid.org/0000-0003-2325-1390,Leiden University,ORG_00056,,
AUTH_DIBURA,Dipamjyoti Buragohain,http://orcid.org/0000-0001-8432-8780,Mahidol University,ORG_00057,,
AUTH_DIBURA2,Dipima Buragohain,,Max Planck Society,ORG_00058,,
AUTH_DICHEN,Di Chen,http://orcid.org/0009-0007-1948-3865,McElhanney Indonesia,ORG_00059,,
AUTH_DOOREI,Dougald J.W. O’Reilly,http://orcid.org/0000-0001-9830-6945,Meijo University,ORG_00060,,
AUTH_DOSOUT,Dominique Soutif,http://orcid.org/0000-0002-7422-1434,Metropolitan Museum of Art,ORG_00061,,
AUTH_DUCOOK,Duncan Cook,http://orcid.org/0000-0001-5270-4569,Ministry of Culture and Fine Arts of Cambodia,ORG_00062,,
AUTH_EDCOOK,Edward R. Cook,http://orcid.org/0000-0001-7478-4176,Ministry of Water Resources and Meteorology,ORG_00063,,
AUTH_EDSWEN,Edward Swenson,http://orcid.org/0000-0001-5108-4417,Monash University,ORG_00064,,
AUTH_EILUST,Eileen Lustig,http://orcid.org/0000-0003-3107-4347,Museum National d'Histoire Naturelle,ORG_00065,,
AUTH_ELBRUC,Eleanor Bruce,http://orcid.org/0000-0002-7640-2335,Nantes University,ORG_00066,,
AUTH_EMKOLI,Emmanuelle Delque Kolic,http://orcid.org/0000-0001-9758-2964,National Aeronautics & Space Administration (NASA),ORG_00067,,
AUTH_ENVEGA,Enrique Vega,http://orcid.org/0000-0002-6647-5258,National Authority for Sambor Prei Kuk,ORG_00068,,
AUTH_ERBOUR,Eric Bourdonneau,,National Cheng Kung University,ORG_00069,,
AUTH_ERROUS,Erwan Roussel,http://orcid.org/0000-0002-8735-5597,National Institute of Biological Resources,ORG_00070,,
AUTH_ESLEIS,Esther Von Plehwe-Leisen,http://orcid.org/0000-0002-2096-0012,National Museum of Nature and Science,ORG_00071,,
AUTH_ESSALI,Esperanza Muñoz Salinas,http://orcid.org/0000-0002-6214-5032,National Palace Museum,ORG_00072,,
AUTH_ETUCHI,Etsuo Uchida,http://orcid.org/0000-0003-1104-6576,National Research Institute for Cultural Properties,ORG_00073,,
AUTH_FADELLE,Fabian Dellefant,http://orcid.org/0000-0002-2612-6635,National University of Battambang,ORG_00074,,
AUTH_FAWU,Fasi Wu,http://orcid.org/0000-0002-1175-8285,New York University,ORG_00075,,
AUTH_FECARO,Federico Caro,http://orcid.org/0000-0003-2931-6685,Nihon University,ORG_00076,,
AUTH_FLBART,Flavia Bartoli,http://orcid.org/0000-0002-5917-561X,Ningbo University,ORG_00077,,
AUTH_FRBIAN,Francesco Bianchini,http://orcid.org/0000-0002-3246-2774,Nong Lam University,ORG_00078,,
AUTH_FRVAUT,Franck Vautier,http://orcid.org/0000-0002-4939-2477,Norton University,ORG_00079,,
AUTH_FUCHEN,Fulong Chen,http://orcid.org/0000-0003-1144-0004,O. P. Jindal Global University,ORG_00080,,
AUTH_GAMARR,Gary P. Marriner,http://orcid.org/0000-0001-7630-6768,Paris Saclay University,ORG_00081,,
AUTH_GECOED,Georges Coedes,,Polish Academy of Sciences,ORG_00082,,
AUTH_GICANE,Giulia Caneva,http://orcid.org/0000-0002-0551-7100,Ramkhamhaeng University,ORG_00083,,
AUTH_GIGREE,Gillian Green,http://orcid.org/0000-0003-1043-9968,Roma Tre University,ORG_00084,,
AUTH_GISTRO,Giovanni Strona,http://orcid.org/0000-0003-2294-4013,Royal Academy of Cambodia,ORG_00085,,
AUTH_GIVENT,Giancarlo Della Ventura,http://orcid.org/0000-0001-6277-961X,Royal University of Fine Arts,ORG_00086,,
AUTH_GLBOOR,Glenn Boornazian,,Royal University of Phnom Penh,ORG_00087,,
AUTH_GUHUAN,Guang Huang,http://orcid.org/0000-0002-9171-3641,Ruprecht Karls University Heidelberg,ORG_00088,,
AUTH_HABUCK,Hallie R. Buckley,http://orcid.org/0000-0003-1047-4288,Santa Clara University,ORG_00089,,
AUTH_HACAWT,Hayden Cawte,,Scottish Universities Research and Reactor Center,ORG_00090,,
AUTH_HALEIS,Hans Leisen,,Shenzhen Academy of Inspection and Quarantine,ORG_00091,,
AUTH_HAPEOU,Hang Peou,http://orcid.org/0000-0001-7055-9895,Silpakorn University,ORG_00092,,
AUTH_HAPHAN,Hao Duy Phan,http://orcid.org/0000-0002-5617-6844,Smithsonian Institution,ORG_00093,,
AUTH_HAXU,Hang Xu,,Soprintendenza Speciale Polo Museale Veneziano,ORG_00094,,
AUTH_HEBUN,Hean Bun,,Stanford University,ORG_00095,,
AUTH_HEGRUN,Helena Grunfeld,http://orcid.org/0000-0003-0544-8077,Supreme Court of State of New South Wales,ORG_00096,,
AUTH_HELOCA,Henri Locard,,The Antiquities Coalition,ORG_00097,,
AUTH_HESIED,Heiner Siedel,http://orcid.org/0000-0002-7858-1437,Tokyo National Research Institute for Cultural Properties,ORG_00098,,
AUTH_HESILV,Helaine Silverman,,Tongren Polytechnic University,ORG_00099,,
AUTH_HETHAN,Heng Than,,UNESCO,ORG_00100,,
AUTH_HIAGAT,Hiroki Agatsuma,,Ubon Ratchathani University,ORG_00101,,
AUTH_HIIKUT,Hikaru Ikuta,http://orcid.org/0009-0001-6372-2444,Universidad Nacional Autonoma de Mexico,ORG_00102,,
AUTH_HIKASH,Hiroyuki Kashiwadani,http://orcid.org/0000-0002-2657-9730,Universitas Islam Negeri Sunan Kalijaga,ORG_00103,,
AUTH_HISATO,Hiroya Sato,http://orcid.org/0000-0002-5903-055X,Universiti Sains Malaysia,ORG_00104,,
AUTH_HISHIO,Hiroyoshi Shiokawa,,University College London,ORG_00105,,
AUTH_HUGROU,Huw S. Groucutt,http://orcid.org/0000-0002-9111-1720,University of Auckland,ORG_00106,,
AUTH_HULI,Hui Li,http://orcid.org/0000-0001-9139-3855,University of British Columbia,ORG_00107,,
AUTH_IAMOFF,Ian Moffat,http://orcid.org/0000-0002-2171-7145,University of California,ORG_00108,,
AUTH_IATAPL,Ian Tapley,,University of Cologne,ORG_00109,,
AUTH_ICSHIM,Ichita Shimoda,http://orcid.org/0000-0002-7563-7394,University of Colorado Boulder,ORG_00110,,
AUTH_ISPARC,Issaak Parcharidis,http://orcid.org/0000-0002-6642-3642,University of Copenhagen,ORG_00111,,
AUTH_IUSLEP,Iuliia V. Sleptsova,http://orcid.org/0009-0000-8004-7594,University of Dresden,ORG_00112,,
AUTH_JADOUG,Janet G. Douglas,http://orcid.org/0000-0001-5042-6112,University of Florida,ORG_00113,,
AUTH_JAJELE,J�nos Jelen,,University of Freiburg,ORG_00114,,
AUTH_JASOUT,Jane Southworth,http://orcid.org/0000-0002-7246-7879,University of Geneva,ORG_00115,,
AUTH_JECHEV,Jean-Baptiste Chevance,http://orcid.org/0000-0001-5489-4618,University of Glasgow,ORG_00116,,
AUTH_JEFOHL,Jens Fohlmeister,http://orcid.org/0009-0002-1654-3715,University of Gothenburg,ORG_00117,,
AUTH_JIGU,Ji-Dong Gu,,University of Gottingen,ORG_00118,,
AUTH_JILI,Jing Li,http://orcid.org/0009-0007-7955-7889,University of Hawaii,ORG_00119,,
AUTH_JIWU,Jiapeng Wu,http://orcid.org/0000-0003-4633-6530,University of Heidelberg,ORG_00120,,
AUTH_JIYOU,Jiangbin You,http://orcid.org/0000-0002-6340-4542,University of Hong Kong,ORG_00121,,
AUTH_JOCIOR,John D. Ciorciari,http://orcid.org/0000-0001-8654-3038,University of Illinois,ORG_00122,,
AUTH_JOGILL,Josephine Gillespie,http://orcid.org/0000-0002-5103-3449,University of London,ORG_00123,,
AUTH_JOKAMM,Jörg Kammerhofer,http://orcid.org/0000-0003-0991-9905,University of Messina,ORG_00124,,
AUTH_JOKRON,Johannes Kroner,,University of Michigan,ORG_00125,,
AUTH_JOLOBO,José Lobo,http://orcid.org/0000-0002-0814-7168,University of Munich,ORG_00126,,
AUTH_JOMONR,John W. Monroe,,University of New England,ORG_00127,,
AUTH_JOTUNN,Jon Tunnicliffe,http://orcid.org/0000-0003-0377-7803,University of New South Wales Sydney,ORG_00128,,
AUTH_JOWAGE,Jonathan Wager,,University of Oregon,ORG_00129,,
AUTH_JOWEED,Jonathan Niles Weed,http://orcid.org/0000-0002-4766-6526,University of Otago,ORG_00130,,
AUTH_JOZAMO,Jose-Juan Zamorano,http://orcid.org/0000-0002-9575-5734,University of Ottawa,ORG_00131,,
AUTH_KADOME,Kate M. Domett,http://orcid.org/0000-0001-5091-3105,University of Oxford,ORG_00132,,
AUTH_KAGABE,Katrina Gaber,http://orcid.org/0009-0002-6157-4633,University of Potsdam,ORG_00133,,
AUTH_KAHANU,Kasper Hanus,http://orcid.org/0000-0003-1550-6939,University of Queensland,ORG_00134,,
AUTH_KAIKEU,Katsushi Ikeuchi,http://orcid.org/0000-0001-9758-9357,University of Singapore,ORG_00135,,
AUTH_KAKURI,Kaito Kuriyama,,University of Sydney,ORG_00136,,
AUTH_KAMOGI,Katsuro Mogib,,University of Tokyo,ORG_00137,,
AUTH_KAPHON,Kaseka Phon,http://orcid.org/0000-0002-8896-3818,University of Toronto,ORG_00138,,
AUTH_KASATO,Katsura Sato,http://orcid.org/0000-0003-0949-2809,University of Tsukuba,ORG_00139,,
AUTH_KASEZA,Kaoru Sezaki,http://orcid.org/0000-0003-1194-4632,University of Washington,ORG_00140,,
AUTH_KEANCH,Kevin J. Anchukaitis,http://orcid.org/0000-0002-8509-8080,University of Western Australia,ORG_00141,,
AUTH_KEAZAM,Keishiro Azami,http://orcid.org/0000-0003-2885-078X,University of Wisconsin,ORG_00142,,
AUTH_KEGERA,Kelly Gerard,http://orcid.org/0000-0002-4725-6703,University of Wollongong,ORG_00143,,
AUTH_KEITO,Keisuke Ito,http://orcid.org/0009-0007-3751-6309,University of the South Pacific,ORG_00144,,
AUTH_KEMIUR,Keiko Miura,http://orcid.org/0000-0002-5627-0929,Utah State University,ORG_00145,,
AUTH_KHCHAN,Khieu Chan,,Victoria University,ORG_00146,,
AUTH_KINGOU,Kimly Ngoun,,Waseda University,ORG_00147,,
AUTH_KOCHIM,Kosal Chim,http://orcid.org/0000-0002-4581-5436,Wayne State College,ORG_00148,,
AUTH_KOMIKA,Kousei Mikami,,World Monuments Fund,ORG_00149,,
