id,name,ORCID,org,IDAF,Publisher,IDPS
AUTH_SOTHAU,Sokkalyan Thau,,,,,
AUTH_STGREE,Stéphane De Greef,http://orcid.org/0000-0003-0370-5658,,,,
AUTH_STLERO,Stéphanie Leroy,http://orcid.org/0000-0002-1835-3563,,,,
AUTH_STPFEF,Stephan Pfefferkorn,,,,,
AUTH_STWHIT,Stephen H. Whiteman,http://orcid.org/0000-0002-4451-4180,,,,
AUTH_SUCHAU,Sushank Chaudhary,http://orcid.org/0000-0002-1715-9689,,,,
AUTH_SUKUBO,Sumiko Kubo,,,,,
AUTH_SURUNK,Susanne Runkel,,,,,
AUTH_SUYEN,Sufen Yen,http://orcid.org/0000-0002-8533-9657,,,,
AUTH_SVIGN,S. Kandasamy Vignesh,http://orcid.org/0000-0003-4285-8817,,,,
AUTH_SWCHEM,Swati Chemburkar,,,,,
AUTH_SYBAUV,Sylvain Bauvais,http://orcid.org/0000-0002-3203-1069,,,,
AUTH_TAEASU,Taylor M. Easum,,,,,
AUTH_TAMASU,Takatsugu Masuda,http://orcid.org/0000-0002-5168-1024,,,,
AUTH_TANAKA,Takeshi Nakagawa,http://orcid.org/0000-0003-0831-6803,,,,
AUTH_TANAKA2,Tamaki Nakamura,http://orcid.org/0000-0001-8625-4092,,,,
AUTH_TAOISH,Takeshi Oishi,http://orcid.org/0000-0002-2010-2608,,,,
AUTH_TASUY,Tan Boun Suy,,,,,
AUTH_TEDAVI,Tess Davis,http://orcid.org/0000-0001-7001-7439,,,,
AUTH_TEDELA,Terry DeLacy,http://orcid.org/0000-0002-6535-6302,,,,
AUTH_TEHALL,Tegan Hall,http://orcid.org/0000-0002-2072-241X,,,,
AUTH_TELUST,Terry Lustig,http://orcid.org/0000-0001-7959-7871,,,,
AUTH_TEWARA,Tetsuya Waragai,http://orcid.org/0000-0001-9946-8225,,,,
AUTH_THBLAN,Thomas Blanchet,http://orcid.org/0000-0002-8155-339X,,,,
AUTH_THPONG,Thitinan Pongsudhirak,,,,,
AUTH_THPRAB,Thoriq Tri Prabowo,http://orcid.org/0000-0001-8196-7958,,,,
AUTH_THPRYC,Thomas Oliver Pryce,http://orcid.org/0000-0002-7290-141X,,,,
AUTH_THWARS,Thomas Warscheid,http://orcid.org/0000-0002-6040-8054,,,,
AUTH_THWISA,Thanachate Wisaijorn,http://orcid.org/0009-0002-1779-2094,,,,
AUTH_TIATTO,Tiago Attorre,http://orcid.org/0000-0003-4076-389X,,,,
AUTH_TISONN,Till Frieder Sonnemann,http://orcid.org/0000-0003-2632-7282,,,,
AUTH_TITIN,Tina Tin,,,,,
AUTH_TIWINT,Tim Winter,http://orcid.org/0000-0002-5825-6012,,,,
AUTH_TOHIRA,Tomonari Hirai,,,,,
AUTH_TOMAED,Toshiro Maeda,http://orcid.org/0000-0002-1837-9704,,,,
AUTH_TOMINH,Ton That Minh,http://orcid.org/0009-0000-5296-757X,,,,
AUTH_TOSUGA,Toshihiko Sugai,http://orcid.org/0000-0002-5779-5612,,,,
AUTH_TOTOKU,Tomochika Tokunaga,http://orcid.org/0000-0002-8867-0468,,,,
AUTH_TRHONG,Truong Mai Hong,,,,,
AUTH_VASAVO,Valentina Savo,http://orcid.org/0000-0002-4415-2685,,,,
AUTH_VEVAR,Veasna Var,,,,,
AUTH_VICHAN,Vitharong Chan,,,,,
AUTH_VIGOUL,Victor Gouloubew,,,,,
AUTH_VIKATT,Victor Kattan,http://orcid.org/0000-0001-5109-5933,,,,
AUTH_VILIEB,Victor Lieberman,,,,,
AUTH_VIPEUO,Vibol Peuo,,,,,
AUTH_WASAST,Wayan Jarrah Sastrawan,http://orcid.org/0000-0002-9541-1907,,,,
AUTH_WAWEDE,Wanja Wedekind,http://orcid.org/0009-0007-7582-146X,,,,
AUTH_WELAN,Wensheng Lan,http://orcid.org/0000-0002-0462-6276,,,,
AUTH_WEWANG,Wei-Dong Wang,,,,,
AUTH_WEZHEN,Wenwu Zheng,http://orcid.org/0009-0009-7586-9820,,,,
AUTH_WEZHOU,Wei Zhou,http://orcid.org/0000-0003-0947-3843,,,,
AUTH_XIDING,Xinghua Ding,http://orcid.org/0000-0003-1249-3212,,,,
AUTH_XILIU,Xiaobo Liu,http://orcid.org/0000-0003-2318-1505,,,,
AUTH_XUTAY,Xuan W. Tay,http://orcid.org/0000-0002-6813-9821,,,,
AUTH_YAAKAZ,Yasushi Akazawa,http://orcid.org/0000-0002-9863-1315,,,,
AUTH_YAKATO,Yasuhiro Kato,http://orcid.org/0000-0002-5711-8304,,,,
AUTH_YAMENG,Yahui Meng,http://orcid.org/0000-0002-8291-8944,,,,
AUTH_YIHONG,Yiguo Hong,http://orcid.org/0000-0002-6255-4100,,,,
AUTH_YILI,Yiliang Li,,,,,
AUTH_YIZHUA,Yijie Zhuang,http://orcid.org/0000-0001-5546-0870,,,,
AUTH_YOFUTA,Yoko Futagami,http://orcid.org/0000-0002-2998-0538,,,,
AUTH_YOIWAS,Yoshinori Iwasaki,http://orcid.org/0000-0002-5693-430X,,,,
AUTH_YOKATA,Yoko Katayama,http://orcid.org/0000-0002-4365-6320,,,,
AUTH_YOKOBA,Yoshimitsu Kobayashi,,,,,
AUTH_YOKOJI,Yoko Kojima,http://orcid.org/0000-0001-9137-9711,,,,
AUTH_YOQIAN,Youfen Qian,http://orcid.org/0000-0002-0763-6816,,,,
AUTH_YOSATO,Yoshihiro Sato,http://orcid.org/0000-0003-4797-1253,,,,
AUTH_YOSUGI,Yoshihiro Sugimoto,,,,,
AUTH_YOSUGI,Yoshikazu Sugiura,,,,,
AUTH_YOTANA,Yoshifumi Tanaka,http://orcid.org/0000-0002-0063-9424,,,,
AUTH_YUDENG,Yunyuan Deng,http://orcid.org/0000-0003-1062-9470,,,,
AUTH_YULU,Yusu Lu,http://orcid.org/0000-0002-5870-7282,,,,
AUTH_YUSHIG,Yutaka Shigeeda,,,,,
AUTH_YUTAKU,Yukinori Takubo,http://orcid.org/0000-0002-4344-9153,,,,
AUTH_KHNEAY,Khuon Khun Neay,,,,,
AUTH_JASHAR,Janhwij Sharma,,,,,
AUTH_UESALZ,Ueli Salzmann,,,,,
AUTH_SULERT,Surat Lertlum,,,,,
AUTH_THMAXW,Thomas S. Maxwell,,,,,
AUTH_DEKHOB,Devyani Khobragade,,,,,
AUTH_KOPUTH,Kong Puthikar,,,,,
AUTH_CHCARL,W. Christopher Carleton,https://orcid.org/0000-0001-7463-8638,,,,
AUTH_ZHYE,Zhu Ye,https://orcid.org/0000-0002-9332-1190,,,,
